Coords	Name	MIRNA	apoc_2_S31_L001_R1_001_trim_condensed	apoc_3_S32_L001_R1_001_trim_condensed	apoc_4_S33_L001_R1_001_trim_condensed
Ap11:70294-70715	Cluster_1	N	50	3	11
Ap11:171278-171695	Cluster_2	N	26	0	2
Ap11:423611-424025	Cluster_3	N	4	5	11
Ap11:583143-583559	Cluster_4	N	16	27	0
Ap11:636984-637400	Cluster_5	N	4	21	21
Ap11:735982-736399	Cluster_6	N	1	0	18
Ap11:818209-818623	Cluster_7	N	4	4	23
Ap11:849701-850117	Cluster_8	N	12	74	78
Ap11:1173168-1173582	Cluster_9	N	0	0	26
Ap11:1291990-1292408	Cluster_10	N	82	17	11
Ap11:1507811-1508227	Cluster_11	N	9	14	27
Ap11:1865181-1865598	Cluster_12	N	27	16	40
Ap11:2449833-2450248	Cluster_13	N	0	0	53
Ap11:2902816-2903231	Cluster_14	N	12	11	7
Ap11:3378966-3379381	Cluster_15	N	0	63	68
Ap11:3407537-3407954	Cluster_16	N	15	10	15
Ap11:4032112-4032528	Cluster_17	N	12	4	7
Ap11:4058585-4059002	Cluster_18	N	13	23	14
Ap11:4292678-4293095	Cluster_19	N	10	5	37
Ap11:4367104-4367520	Cluster_20	N	2	3	19
Ap11:4662100-4662518	Cluster_21	N	8	11	14
Ap11:5104619-5105033	Cluster_22	N	5	16	18
Ap11:5115193-5115609	Cluster_23	N	1	8	9
Ap11:5118684-5119103	Cluster_24	N	4	15	13
Ap11:5203182-5203600	Cluster_25	N	29	77	65
Ap11:5228520-5228937	Cluster_26	N	21	79	78
Ap11:5306344-5306760	Cluster_27	N	3	13	28
Ap11:5431568-5431986	Cluster_28	N	2	12	22
Ap11:5471166-5471582	Cluster_29	N	91	196	137
Ap11:5821047-5821465	Cluster_30	N	31	77	49
Ap11:5915596-5916010	Cluster_31	N	0	0	29
Ap11:5917531-5917944	Cluster_32	N	20	1	0
Ap11:5968012-5968426	Cluster_33	N	0	26	21
Ap11:6274974-6275390	Cluster_34	N	0	19	12
Ap11:6433677-6434092	Cluster_35	N	3	17	5
Ap11:6692225-6692639	Cluster_36	N	1	11	19
Ap11:6921101-6921514	Cluster_37	N	0	6	13
Ap11:6961690-6962158	Cluster_38	N	207	0	17
Ap11:7151082-7151539	Cluster_39	N	114	8	8
Ap11:7397531-7397947	Cluster_40	N	28	3	0
Ap11:7482096-7482512	Cluster_41	N	11	2	6
Ap11:7685182-7685597	Cluster_42	N	4	47	28
Ap11:7843734-7844149	Cluster_43	N	1	16	9
Ap11:7941141-7941556	Cluster_44	N	3	10	14
Ap11:7948296-7948714	Cluster_45	N	0	5	51
Ap11:7975414-7975828	Cluster_46	N	0	10	13
Ap11:7979912-7980329	Cluster_47	N	7	21	15
Ap11:8274438-8274851	Cluster_48	N	0	10	8
Ap11:8734628-8735043	Cluster_49	N	0	0	33
Ap11:9181408-9181924	Cluster_50	N	132	18	14
Ap11:10096482-10096896	Cluster_51	N	0	0	32
Ap11:10342393-10342811	Cluster_52	N	3	7	31
Ap11:10481293-10481709	Cluster_53	N	7	16	9
Ap11:10937236-10937654	Cluster_54	N	1	19	20
Ap11:11036311-11036728	Cluster_55	N	6	69	38
Ap11:11157577-11157987	Cluster_56	N	8	11	2
Ap11:11847991-11848407	Cluster_57	N	7	39	22
Ap11:12017850-12018263	Cluster_58	N	1	1	16
Ap11:12241006-12241423	Cluster_59	N	13	17	10
