"","target","species","OG","Nvec","Ahya","Apoc"
"NV2t000010001.1","NV2t000010001.1","Nvec","OG_7263",1,1,1
"NV2t000011003.1","NV2t000011003.1","Nvec","OG_7262",1,0,0
"NV2t000011001.1","NV2t000011001.1","Nvec","OG_7262",1,0,0
"NV2t000011002.1","NV2t000011002.1","Nvec","OG_7262",1,0,0
"NV2t000017001.1","NV2t000017001.1","Nvec","OG_2157",1,1,0
"NV2t000017002.1","NV2t000017002.1","Nvec","OG_2157",1,1,0
"NV2t000031001.1","NV2t000031001.1","Nvec","OG_6491",1,0,0
"NV2t000031002.1","NV2t000031002.1","Nvec","OG_6491",1,0,0
"NV2t000031003.1","NV2t000031003.1","Nvec","OG_6491",1,0,0
"NV2t000032001.1","NV2t000032001.1","Nvec","OG_7510",1,1,0
"NV2t000032002.1","NV2t000032002.1","Nvec","OG_7510",1,1,0
"NV2t000036001.1","NV2t000036001.1","Nvec","OG_1393",1,1,1
"NV2t000036002.1","NV2t000036002.1","Nvec","OG_1393",1,1,1
"NV2t000061001.1","NV2t000061001.1","Nvec","OG_6016",1,1,0
"NV2t000063001.1","NV2t000063001.1","Nvec","OG_7319",1,1,0
"NV2t000063002.1","NV2t000063002.1","Nvec","OG_7319",1,1,0
"NV2t000063003.1","NV2t000063003.1","Nvec","OG_7319",1,1,0
"NV2t000063004.1","NV2t000063004.1","Nvec","OG_7319",1,1,0
"NV2t000095001.1","NV2t000095001.1","Nvec","OG_12710",1,1,0
"NV2t000112001.1","NV2t000112001.1","Nvec","OG_7197",1,1,0
"NV2t000112002.1","NV2t000112002.1","Nvec","OG_7197",1,1,0
"NV2t000123001.1","NV2t000123001.1","Nvec","OG_7365",1,1,0
"NV2t000132001.1","NV2t000132001.1","Nvec","OG_3796",1,1,1
"NV2t000133001.1","NV2t000133001.1","Nvec","OG_3795",1,1,1
"NV2t000134001.1","NV2t000134001.1","Nvec","OG_3794",1,1,0
"NV2t000137001.1","NV2t000137001.1","Nvec","OG_1245",1,1,0
"NV2t000137002.1","NV2t000137002.1","Nvec","OG_1245",1,1,0
"NV2t000137003.1","NV2t000137003.1","Nvec","OG_1245",1,1,0
"NV2t000156001.1","NV2t000156001.1","Nvec","OG_6301",1,0,0
"NV2t000162001.1","NV2t000162001.1","Nvec","OG_3717",1,1,0
"NV2t000192001.1","NV2t000192001.1","Nvec","OG_7293",1,0,0
"NV2t000196001.1","NV2t000196001.1","Nvec","OG_7624",1,0,1
"NV2t000196002.1","NV2t000196002.1","Nvec","OG_7624",1,0,1
"NV2t000197001.1","NV2t000197001.1","Nvec","OG_1239",1,1,0
"NV2t000197003.1","NV2t000197003.1","Nvec","OG_1239",1,1,0
"NV2t000208001.1","NV2t000208001.1","Nvec","OG_6439",1,1,0
"NV2t000208002.1","NV2t000208002.1","Nvec","OG_6439",1,1,0
"NV2t000208003.1","NV2t000208003.1","Nvec","OG_6439",1,1,0
"NV2t000212001.1","NV2t000212001.1","Nvec","OG_3764",1,1,0
"NV2t000251001.1","NV2t000251001.1","Nvec","OG_218",1,1,1
"NV2t000265001.1","NV2t000265001.1","Nvec","OG_317",1,0,0
"NV2t000265002.1","NV2t000265002.1","Nvec","OG_317",1,0,0
"NV2t000265003.1","NV2t000265003.1","Nvec","OG_317",1,0,0
"NV2t000273001.1","NV2t000273001.1","Nvec","OG_3784",1,0,0
"NV2t000281001.1","NV2t000281001.1","Nvec","OG_7311",1,1,1
"NV2t000281002.1","NV2t000281002.1","Nvec","OG_7311",1,1,1
"NV2t000281003.1","NV2t000281003.1","Nvec","OG_7311",1,1,1
"NV2t000281004.1","NV2t000281004.1","Nvec","OG_7311",1,1,1
"NV2t000281005.1","NV2t000281005.1","Nvec","OG_7311",1,1,1
"NV2t000281006.1","NV2t000281006.1","Nvec","OG_7311",1,1,1
"NV2t000281007.1","NV2t000281007.1","Nvec","OG_7311",1,1,1
"NV2t000281008.1","NV2t000281008.1","Nvec","OG_7311",1,1,1
"NV2t000336001.1","NV2t000336001.1","Nvec","OG_7488",1,1,0
"NV2t000340001.1","NV2t000340001.1","Nvec","OG_174",1,1,0
"NV2t000340002.1","NV2t000340002.1","Nvec","OG_174",1,1,0
"NV2t000340003.1","NV2t000340003.1","Nvec","OG_174",1,1,0
"NV2t000353001.1","NV2t000353001.1","Nvec","OG_2285",1,0,0
"NV2t000380001.1","NV2t000380001.1","Nvec","OG_7507",1,1,0
"NV2t000392001.1","NV2t000392001.1","Nvec","OG_5987",1,0,0
"NV2t000392002.1","NV2t000392002.1","Nvec","OG_5987",1,0,0
"NV2t000392003.1","NV2t000392003.1","Nvec","OG_5987",1,0,0
"NV2t000392004.1","NV2t000392004.1","Nvec","OG_5987",1,0,0
"NV2t000395001.1","NV2t000395001.1","Nvec","OG_186",1,1,1
"NV2t000400001.1","NV2t000400001.1","Nvec","OG_749",1,0,0
"NV2t000405001.1","NV2t000405001.1","Nvec","OG_2224",1,0,0
"NV2t000406001.1","NV2t000406001.1","Nvec","OG_5429",1,0,0
"NV2t000425001.1","NV2t000425001.1","Nvec","OG_2179",1,1,0
"NV2t000428001.1","NV2t000428001.1","Nvec","OG_5857",1,0,0
"NV2t000445001.1","NV2t000445001.1","Nvec","OG_4989",1,0,0
"NV2t000449001.1","NV2t000449001.1","Nvec","OG_2229",1,0,0
"NV2t000453001.1","NV2t000453001.1","Nvec","OG_7388",1,0,1
"NV2t000465001.1","NV2t000465001.1","Nvec","OG_2177",1,1,0
"NV2t000468001.1","NV2t000468001.1","Nvec","OG_3819",1,0,0
"NV2t000476001.1","NV2t000476001.1","Nvec","OG_7194",1,1,0
"NV2t000479001.1","NV2t000479001.1","Nvec","OG_3803",1,1,1
"NV2t000483001.1","NV2t000483001.1","Nvec","OG_186",1,1,1
"NV2t000482001.1","NV2t000482001.1","Nvec","OG_6474",1,1,0
"NV2t000487001.1","NV2t000487001.1","Nvec","OG_7375",1,1,0
"NV2t000492001.1","NV2t000492001.1","Nvec","OG_3757",1,0,0
"NV2t000492002.1","NV2t000492002.1","Nvec","OG_3757",1,0,0
"NV2t000492003.1","NV2t000492003.1","Nvec","OG_3757",1,0,0
"NV2t000509001.1","NV2t000509001.1","Nvec","OG_6434",1,1,0
"NV2t000510001.1","NV2t000510001.1","Nvec","OG_3724",1,1,0
"NV2t000535001.1","NV2t000535001.1","Nvec","OG_2280",1,0,0
"NV2t000552001.1","NV2t000552001.1","Nvec","OG_767",1,1,0
"NV2t000554001.1","NV2t000554001.1","Nvec","OG_242",1,1,0
"NV2t000574001.1","NV2t000574001.1","Nvec","OG_7668",1,1,0
"NV2t000574002.1","NV2t000574002.1","Nvec","OG_7668",1,1,0
"NV2t000578001.1","NV2t000578001.1","Nvec","OG_242",1,1,0
"NV2t000581001.1","NV2t000581001.1","Nvec","OG_242",1,1,0
"NV2t000581002.1","NV2t000581002.1","Nvec","OG_242",1,1,0
