Coords	Name	MIRNA	nvec_1_S25_L001_R1_001_trim_condensed	nvec_2_S26_L001_R1_001_trim_condensed	nvec_3_S34_L001_R1_001_trim_condensed	nvec_4_S35_L001_R1_001_trim_condensed
chr1:57511-57925	Cluster_1	N	14	13	8	13
chr1:125945-127061	Cluster_2	N	107	96	162	215
chr1:127224-127657	Cluster_3	N	31	17	3	33
chr1:127858-128344	Cluster_4	N	65	24	75	92
chr1:300592-301006	Cluster_5	N	0	0	79	2
chr1:391514-391930	Cluster_6	N	18	0	1	17
chr1:418523-418952	Cluster_7	N	44	22	26	10
chr1:420786-421218	Cluster_8	N	12	4	42	32
chr1:430172-430641	Cluster_9	N	41	23	29	40
chr1:432319-432858	Cluster_10	N	66	32	47	25
chr1:623117-623538	Cluster_11	N	84	19	4	10
chr1:656425-656844	Cluster_12	N	27	5	2	8
chr1:855691-856110	Cluster_13	N	8	4	14	59
chr1:980913-981327	Cluster_14	N	0	0	0	50
chr1:991143-991559	Cluster_15	N	0	0	0	48
chr1:1229482-1229899	Cluster_16	N	22	20	0	87
chr1:1265580-1265996	Cluster_17	N	10	124	1	3
chr1:1515558-1515975	Cluster_18	N	2	0	24	189
chr1:1591595-1592010	Cluster_19	N	5	97	0	3
chr1:1641349-1641767	Cluster_20	N	14	9	2	24
chr1:1710271-1710686	Cluster_21	N	0	1	108	14
chr1:1714752-1715172	Cluster_22	N	69	24	0	3
chr1:1778783-1779198	Cluster_23	N	23	6	30	4
chr1:1857268-1857684	Cluster_24	N	14	15	16	49
chr1:1860749-1861173	Cluster_25	N	74	42	16	31
chr1:2536558-2536974	Cluster_26	N	37	7	2	1
chr1:2641385-2641847	Cluster_27	N	112	36	59	9
chr1:2643242-2643668	Cluster_28	N	13	9	13	32
chr1:2657227-2657705	Cluster_29	N	61	14	65	26
chr1:2659789-2660267	Cluster_30	N	269	84	140	84
chr1:2666583-2667084	Cluster_31	N	116	32	85	72
chr1:2668013-2668431	Cluster_32	N	23	5	19	12
chr1:2751812-2752238	Cluster_33	N	22	0	8	28
chr1:2757583-2758123	Cluster_34	N	198	46	120	128
chr1:2836108-2836526	Cluster_35	N	0	0	1	339
chr1:2934419-2934836	Cluster_36	N	40	8	15	2
chr1:2987408-2987822	Cluster_37	N	1	39	3	2
