"","GO.ID","Term","Annotated","Significant","Expected","Fisher","Protein_ID","ontology","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"1","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap1.1092","Molecular Functions","sp|Q96RW7|HMCN1_HUMAN",0,"Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2","tr|A0A2B4SXZ3|A0A2B4SXZ3_STYPI",0,"Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1","ref|XP_022780561.1|",0,"hemicentin-1-like [Stylophora pistillata]","GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0070062; GO:0005509; GO:0007049; GO:0051301; GO:0050896; GO:0007601",""
"2","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap1.1697","Molecular Functions",NA,NA,NA,"tr|A0A2B4RS15|A0A2B4RS15_STYPI",0,"Versican core protein OS=Stylophora pistillata GN=VCAN PE=4 SV=1","ref|XP_020629580.1|",0,"uncharacterized protein LOC110066684 isoform X1 [Orbicella faveolata]",NA,"GO:0005509"
"3","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap1.2127","Molecular Functions","sp|Q8R4V5|OIT3_MOUSE",2.1e-37,"Oncoprotein-induced transcript 3 protein OS=Mus musculus GN=Oit3 PE=2 SV=2","tr|A0A2B4SGV2|A0A2B4SGV2_STYPI",0,"Oncoprotein-induced transcript 3 protein OS=Stylophora pistillata GN=Oit3 PE=4 SV=1","ref|XP_022794138.1|",0,"uncharacterized protein LOC111332922 isoform X1 [Stylophora pistillata]","GO:0005635; GO:0005509; GO:1903118","GO:0016021; GO:0005509"
"4","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap1.2127.1.5f15e0d8","Molecular Functions","sp|Q62381|TLL1_MOUSE",1.6e-31,"Tolloid-like protein 1 OS=Mus musculus GN=Tll1 PE=1 SV=1","tr|A0A2B4SGV2|A0A2B4SGV2_STYPI",0,"Oncoprotein-induced transcript 3 protein OS=Stylophora pistillata GN=Oit3 PE=4 SV=1","ref|XP_022787102.1|",0,"uncharacterized protein LOC111327235 [Stylophora pistillata]","GO:0005576; GO:0005509; GO:0005518; GO:0004222; GO:0008270; GO:0030154; GO:0007275","GO:0016021; GO:0005509"
"5","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap1.3545","Molecular Functions","sp|D3YXG0|HMCN1_MOUSE",0,"Hemicentin-1 OS=Mus musculus GN=Hmcn1 PE=1 SV=1","tr|A0A2B4SNB8|A0A2B4SNB8_STYPI",0,"Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1","ref|XP_020603606.1|",0,"hemicentin-1-like isoform X1 [Orbicella faveolata]","GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0005576; GO:0005509; GO:0007049; GO:0051301","GO:0016021; GO:0005509"
"6","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap1.3735","Molecular Functions","sp|A2AVA0|SVEP1_MOUSE",0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Mus musculus GN=Svep1 PE=1 SV=1","tr|A0A2B4SZ17|A0A2B4SZ17_STYPI",0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Stylophora pistillata GN=Svep1 PE=4 SV=1","ref|XP_020615811.1|",0,"CUB and sushi domain-containing protein 3-like isoform X1 [Orbicella faveolata]","GO:0005737; GO:0005576; GO:0005615; GO:0016020; GO:0005509; GO:0003682; GO:0007155",""
"7","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap1.3735.1.5f15e47a","Molecular Functions","sp|A2AVA0|SVEP1_MOUSE",0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Mus musculus GN=Svep1 PE=1 SV=1","tr|A0A2B4SZ17|A0A2B4SZ17_STYPI",0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Stylophora pistillata GN=Svep1 PE=4 SV=1","ref|XP_020615811.1|",0,"CUB and sushi domain-containing protein 3-like isoform X1 [Orbicella faveolata]","GO:0005737; GO:0005576; GO:0005615; GO:0016020; GO:0005509; GO:0003682; GO:0007155",""
"8","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap1.669","Molecular Functions","sp|Q2PZL6|FAT4_MOUSE",2.46e-89,"Protocadherin Fat 4 OS=Mus musculus GN=Fat4 PE=1 SV=2","tr|A0A2C9JVA7|A0A2C9JVA7_BIOGL",0,"Uncharacterized protein OS=Biomphalaria glabrata PE=4 SV=1","ref|XP_020610732.1|",0,"protocadherin Fat 4-like [Orbicella faveolata]","GO:0045177; GO:0016021; GO:0005622; GO:0005886; GO:0005509; GO:0001658; GO:0021987; GO:0072137; GO:0048565; GO:0001736; GO:0008543; GO:0003007; GO:0007157; GO:0035329; GO:0007156; GO:0060122; GO:0001822; GO:0072006; GO:0022008; GO:0007219; GO:0043931; GO:0007009; GO:0072307","GO:0016021; GO:0005509; GO:0007156"
"9","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap10.1708","Molecular Functions","sp|P98157|LRP1_CHICK",3.39e-24,"Low-density lipoprotein receptor-related protein 1 OS=Gallus gallus GN=LRP1 PE=2 SV=1","tr|A0A2B4S1P0|A0A2B4S1P0_STYPI",1.15e-58,"Low-density lipoprotein receptor-related protein 6 OS=Stylophora pistillata GN=Lrp6 PE=4 SV=1","ref|XP_020603798.1|",2.24e-85,"low-density lipoprotein receptor-related protein 6-like [Orbicella faveolata]","GO:0005905; GO:0016021; GO:0016964; GO:0005509","GO:0016021"
"10","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap10.1914","Molecular Functions",NA,NA,NA,"tr|A0A2B4RI19|A0A2B4RI19_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene19720 PE=4 SV=1","ref|XP_020600427.1|",0,"trichohyalin-like isoform X1 [Orbicella faveolata]",NA,"GO:0005509"
"11","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap10.1978","Molecular Functions","sp|D3YXG0|HMCN1_MOUSE",1.43e-67,"Hemicentin-1 OS=Mus musculus GN=Hmcn1 PE=1 SV=1","tr|A0A2B4RQ51|A0A2B4RQ51_STYPI",0,"Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1","ref|XP_015774605.1|",0,"PREDICTED: uncharacterized protein LOC107352806 [Acropora digitifera]","GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0005576; GO:0005509; GO:0007049; GO:0051301",""
"12","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap11.422","Molecular Functions","sp|A2ASS6|TITIN_MOUSE",0,"Titin OS=Mus musculus GN=Ttn PE=1 SV=1","tr|A0A2B4RST8|A0A2B4RST8_STYPI",0,"Titin OS=Stylophora pistillata GN=TTN PE=4 SV=1","ref|XP_022800614.1|",0,"LOW QUALITY PROTEIN: titin-like [Stylophora pistillata]","GO:0031672; GO:0000794; GO:0031674; GO:0031430; GO:0005859; GO:0030017; GO:0005865; GO:0030018; GO:0051015; GO:0042805; GO:0030506; GO:0005524; GO:0005509; GO:0005516; GO:0019899; GO:0042802; GO:0051371; GO:0002020; GO:0019901; GO:0043621; GO:0004674; GO:0004713; GO:0005200; GO:0008307; GO:0097493; GO:0031433; GO:0007015; GO:0007512; GO:0060048; GO:0048739; GO:0003300; GO:0055008; GO:0055003; GO:0035995; GO:0043056; GO:0007507; GO:0060419; GO:0003007; GO:0001701; GO:0006936; GO:0010628; GO:0050714; GO:0010737; GO:0050790; GO:0045859; GO:1901897; GO:0051592; GO:0045214; GO:0048769; GO:0030241; GO:0030240; GO:0001756; GO:0055002; GO:0006941; GO:0071688; GO:0021591","GO:0005524; GO:0003700; GO:0004672; GO:0005089; GO:0043565; GO:0035023; GO:0006351"
"13","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap12.2121","Molecular Functions","sp|O43854|EDIL3_HUMAN",5.98e-45,"EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens GN=EDIL3 PE=1 SV=1","tr|A0A2B4SSD8|A0A2B4SSD8_STYPI",1.93e-121,"Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1","ref|XP_020605704.1|",0,"uncharacterized protein LOC110044490 [Orbicella faveolata]","GO:0070062; GO:0031012; GO:1903561; GO:0005509; GO:0005178; GO:0007155; GO:0007275; GO:0010811",""
"14","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap12.2496","Molecular Functions","sp|Q60855|RIPK1_MOUSE",1.04e-06,"Receptor-interacting serine/threonine-protein kinase 1 OS=Mus musculus GN=Ripk1 PE=1 SV=1","tr|A0A2B4R455|A0A2B4R455_STYPI",8.54e-18,"Slit-like 1 protein OS=Stylophora pistillata GN=slt-1 PE=4 SV=1","ref|XP_020620775.1|",6.71e-53,"uncharacterized protein LOC110058465 [Orbicella faveolata]","GO:0005829; GO:0031264; GO:0045121; GO:0005739; GO:0043235; GO:0097342; GO:0005524; GO:0070513; GO:0005123; GO:0042802; GO:0032403; GO:0004672; GO:0004674; GO:0004871; GO:0031625; GO:0007257; GO:1990000; GO:0006915; GO:0044257; GO:0071363; GO:0071356; GO:0097191; GO:0070266; GO:0097527; GO:2001237; GO:2001240; GO:0043124; GO:0036289; GO:0043065; GO:2001238; GO:1905206; GO:0043123; GO:0032757; GO:0046330; GO:0045651; GO:0043410; GO:0060545; GO:0010940; GO:0051092; GO:0042327; GO:0043068; GO:0001934; GO:0045944; GO:0032760; GO:0046777; GO:0051291; GO:0051260; GO:0070926; GO:2000377; GO:0034612; GO:0097343; GO:1901026; GO:0070231; GO:0016032","GO:0005509"
"15","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap12.458","Molecular Functions","sp|Q7Z442|PK1L2_HUMAN",1.09e-90,"Polycystic kidney disease protein 1-like 2 OS=Homo sapiens GN=PKD1L2 PE=1 SV=4","tr|A0A2B4RTI7|A0A2B4RTI7_STYPI",0,"Polycystic kidney disease protein 1-like 2 OS=Stylophora pistillata GN=PKD1L2 PE=4 SV=1","ref|XP_020611270.1|",0,"uncharacterized protein LOC110049786 [Orbicella faveolata]","GO:0016021; GO:0016020; GO:0005262; GO:0005509; GO:0030246; GO:0050982","GO:0016021; GO:0001822"
"16","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap13.104","Molecular Functions","sp|B3EWY9|MLP_ACRMI",2.5e-46,"Mucin-like protein (Fragment) OS=Acropora millepora PE=1 SV=1","tr|A0A2B4RMG1|A0A2B4RMG1_STYPI",1.43e-96,"Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1","gb|PFX17700.1|",2.21e-96,"coadhesin-like [Stylophora pistillata]","GO:0016021; GO:0005509; GO:0007160",""
"17","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap13.1563_evm.model.Ap13.1564","Molecular Functions","sp|B3EWY9|MLP_ACRMI",0,"Mucin-like protein (Fragment) OS=Acropora millepora PE=1 SV=1","tr|A0A2B4STC4|A0A2B4STC4_STYPI",0,"Mucin-4 OS=Stylophora pistillata GN=MUC4 PE=4 SV=1","ref|XP_022801631.1|",0,"mucin-like protein isoform X3 [Stylophora pistillata]","GO:0016021; GO:0005509; GO:0007160","GO:0016021; GO:0005509; GO:0007160"
"18","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap13.1854","Molecular Functions","sp|B3EX02|MFP1_ACRMI",3.23e-23,"MAM and fibronectin type III domain-containing protein 1 (Fragment) OS=Acropora millepora PE=1 SV=1","tr|A0A2B4RSF5|A0A2B4RSF5_STYPI",0,"Mucin-4 OS=Stylophora pistillata GN=MUC4 PE=4 SV=1","ref|XP_020608531.1|",0,"protein sidekick-1-like [Orbicella faveolata]","GO:0005576; GO:0016020","GO:0016021; GO:0005509; GO:0007160"
"19","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap13.2052","Molecular Functions","sp|Q7TN88|PK1L2_MOUSE",6.23e-64,"Polycystic kidney disease protein 1-like 2 OS=Mus musculus GN=Pkd1l2 PE=2 SV=1","tr|A0A2B4RPE8|A0A2B4RPE8_STYPI",0,"Polycystin-1 OS=Stylophora pistillata GN=PKD1 PE=4 SV=1","ref|XP_020623493.1|",0,"uncharacterized protein LOC110061016 [Orbicella faveolata]","GO:0016021; GO:0016020; GO:0005262; GO:0005509; GO:0030246; GO:0001965; GO:0050982","GO:0016021; GO:0005509"
"20","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap13.2335","Molecular Functions","sp|P10079|FBP1_STRPU",1.84e-173,"Fibropellin-1 OS=Strongylocentrotus purpuratus GN=EGF1 PE=1 SV=2","tr|A0A2B4S6S8|A0A2B4S6S8_STYPI",0,"Fibropellin-1 OS=Stylophora pistillata GN=EGF1 PE=4 SV=1","gb|PFX26364.1|",0,"fibropellin-1-like isoform X1 [Stylophora pistillata]","GO:0032579; GO:0031410; GO:0005615; GO:0005509","GO:0016021; GO:0005509; GO:0007154; GO:0007275"
"21","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap13.363","Molecular Functions","sp|Q7TN88|PK1L2_MOUSE",4.95e-68,"Polycystic kidney disease protein 1-like 2 OS=Mus musculus GN=Pkd1l2 PE=2 SV=1","tr|A0A2B4SCP9|A0A2B4SCP9_STYPI",0,"Polycystic kidney disease protein 1-like 2 OS=Stylophora pistillata GN=Pkd1l2 PE=4 SV=1","ref|XP_020618219.1|",0,"polycystic kidney disease and receptor for egg jelly-related protein-like isoform X2 [Orbicella faveolata]","GO:0016021; GO:0016020; GO:0005262; GO:0005509; GO:0030246; GO:0001965; GO:0050982","GO:0016021; GO:0005509"
"22","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap13.70","Molecular Functions","sp|Q7TN88|PK1L2_MOUSE",1.48e-73,"Polycystic kidney disease protein 1-like 2 OS=Mus musculus GN=Pkd1l2 PE=2 SV=1","tr|A0A2B4RP68|A0A2B4RP68_STYPI",0,"Polycystic kidney disease protein 1-like 2 OS=Stylophora pistillata GN=Pkd1l2 PE=4 SV=1","ref|XP_020627776.1|",0,"uncharacterized protein LOC110065017 [Orbicella faveolata]","GO:0016021; GO:0016020; GO:0005262; GO:0005509; GO:0030246; GO:0001965; GO:0050982","GO:0016021; GO:0005509"
"23","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap13.83","Molecular Functions","sp|Q26627|SUREJ_STRPU",8.45e-13,"Sperm receptor for egg jelly OS=Strongylocentrotus purpuratus GN=REJ PE=1 SV=1","tr|A0A2B4SD90|A0A2B4SD90_STYPI",1.1e-83,"Uncharacterized protein CXorf38-like OS=Stylophora pistillata GN=AWC38_SpisGene8804 PE=4 SV=1","ref|XP_020627741.1|",0,"uncharacterized protein LOC110064981 isoform X1 [Orbicella faveolata]","GO:0016021; GO:0016020; GO:0005886; GO:0005262; GO:0005509; GO:0030246; GO:0050982",""
"24","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap14.1071","Molecular Functions","sp|P78325|ADAM8_HUMAN",5.69e-61,"Disintegrin and metalloproteinase domain-containing protein 8 OS=Homo sapiens GN=ADAM8 PE=1 SV=2","tr|A0A2B4RAW4|A0A2B4RAW4_STYPI",0,"Disintegrin and metalloproteinase domain-containing protein 9 OS=Stylophora pistillata GN=ADAM9 PE=4 SV=1","ref|XP_020625482.1|",0,"uncharacterized protein LOC110062877 [Orbicella faveolata]","GO:0071133; GO:0009986; GO:0005737; GO:0032127; GO:0101003; GO:0005887; GO:0032010; GO:0005886; GO:0002102; GO:0042581; GO:0035579; GO:0070820; GO:0070821; GO:0005509; GO:0050839; GO:0004222; GO:0008237; GO:0043621; GO:0004252; GO:0008270; GO:0001525; GO:0000902; GO:0098609; GO:0071456; GO:0022617; GO:0006954; GO:0002523; GO:0048247; GO:0043524; GO:0043312; GO:0002675; GO:0045780; GO:0045785; GO:2000418; GO:2000415; GO:0045089; GO:0043406; GO:0051044; GO:2000391; GO:0051092; GO:0051897; GO:0010954; GO:0050714; GO:0033089; GO:0070245; GO:2000309; GO:0022407","GO:0005576; GO:0016021; GO:0046872; GO:0004222; GO:0007229"
"25","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap14.1545","Molecular Functions","sp|Q8NDA2|HMCN2_HUMAN",1.79e-15,"Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=3","tr|A0A2B4SX95|A0A2B4SX95_STYPI",0,"Hemicentin-2 OS=Stylophora pistillata GN=HMCN2 PE=4 SV=1","gb|PFX33158.1|",0,"Hemicentin-2 [Stylophora pistillata]","GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0031012; GO:0005509; GO:0030335; GO:0050896; GO:0006939","GO:0016021"
"26","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap14.1989","Molecular Functions","sp|P54315|LIPR1_HUMAN",3.01e-64,"Inactive pancreatic lipase-related protein 1 OS=Homo sapiens GN=PNLIPRP1 PE=1 SV=1","tr|A0A2B4RJ44|A0A2B4RJ44_STYPI",6.42e-129,"Inactive pancreatic lipase-related protein 1 OS=Stylophora pistillata GN=PNLIPRP1 PE=4 SV=1","ref|XP_020617311.1|",6.68e-149,"pancreatic triacylglycerol lipase-like [Orbicella faveolata]","GO:0005576; GO:0005509; GO:0004806; GO:0006629","GO:0005576; GO:0004806; GO:0006629"
"27","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap14.1993","Molecular Functions","sp|P81139|LIPR2_CAVPO",1.81e-72,"Pancreatic lipase-related protein 2 OS=Cavia porcellus GN=PNLIPRP2 PE=1 SV=1","tr|A0A1I8G0Z8|A0A1I8G0Z8_9PLAT",2.58e-136,"Uncharacterized protein OS=Macrostomum lignano PE=3 SV=1","ref|XP_002741900.1|",6.63e-131,"PREDICTED: uncharacterized protein LOC100369157 [Saccoglossus kowalevskii]","GO:0005615; GO:0102549; GO:0047372; GO:0005509; GO:0047714; GO:0004620; GO:0004806; GO:0019376; GO:0006629; GO:0009395","GO:0005576; GO:0004806; GO:0006629"
"28","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap14.2008","Molecular Functions","sp|B3EWY9|MLP_ACRMI",6.34e-29,"Mucin-like protein (Fragment) OS=Acropora millepora PE=1 SV=1","tr|A0A2B4SF59|A0A2B4SF59_STYPI",0,"Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1","gb|PFX27739.1|",0,"Hemicentin-1 [Stylophora pistillata]","GO:0016021; GO:0005509; GO:0007160",""
"29","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap14.380","Molecular Functions","sp|O43854|EDIL3_HUMAN",3.02e-52,"EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens GN=EDIL3 PE=1 SV=1","tr|A0A2B4SJA6|A0A2B4SJA6_STYPI",0,"Lactadherin OS=Stylophora pistillata GN=MFGE8 PE=4 SV=1","gb|PFX30764.1|",0,"Lactadherin [Stylophora pistillata]","GO:0070062; GO:0031012; GO:1903561; GO:0005509; GO:0005178; GO:0007155; GO:0007275; GO:0010811",""
"30","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap14.585","Molecular Functions","sp|Q8WZ42|TITIN_HUMAN",1.18e-15,"Titin OS=Homo sapiens GN=TTN PE=1 SV=4","tr|A0A2B4SNJ0|A0A2B4SNJ0_STYPI",4.52e-124,"Down syndrome cell adhesion molecule-like protein 1-like OS=Stylophora pistillata GN=Dscaml1 PE=4 SV=1","ref|XP_020609394.1|",2.49e-131,"leucine-rich repeats and immunoglobulin-like domains protein 2 isoform X1 [Orbicella faveolata]","GO:0000794; GO:0005829; GO:0070062; GO:0005576; GO:0031674; GO:0031430; GO:0005859; GO:0005865; GO:0030018; GO:0051015; GO:0042805; GO:0005524; GO:0005509; GO:0005516; GO:0019899; GO:0042802; GO:0051371; GO:0002020; GO:0019901; GO:0043621; GO:0004674; GO:0004713; GO:0008307; GO:0097493; GO:0031433; GO:0060048; GO:0048739; GO:0003300; GO:0055008; GO:0055003; GO:0035995; GO:0007076; GO:0006936; GO:0030049; GO:0002576; GO:0010628; GO:0050714; GO:0010737; GO:0050790; GO:0045859; GO:0051592; GO:0045214; GO:0048769; GO:0030241; GO:0030240; GO:0006941","GO:0016021"
"31","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap14.586","Molecular Functions","sp|Q7SIC1|FUCL_ANGAN",9.98e-23,"Fucolectin OS=Anguilla anguilla PE=1 SV=1","tr|A0A2B4RC78|A0A2B4RC78_STYPI",0,"Receptor-type tyrosine-protein phosphatase F OS=Stylophora pistillata GN=ptprf PE=4 SV=1","ref|XP_020627529.1|",0,"uncharacterized protein LOC110064772 [Orbicella faveolata]","GO:0005576; GO:0005509; GO:0030246; GO:0042806; GO:0010185; GO:0001868; GO:0045088",""
"32","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap2.1275","Molecular Functions","sp|P07949|RET_HUMAN",6.01e-58,"Proto-oncogene tyrosine-protein kinase receptor Ret OS=Homo sapiens GN=RET PE=1 SV=3","tr|A0A2B4RXR4|A0A2B4RXR4_STYPI",0,"Fibroblast growth factor receptor 3 OS=Stylophora pistillata GN=FGFR3 PE=4 SV=1","ref|XP_020628115.1|",0,"platelet-derived growth factor receptor alpha-like [Orbicella faveolata]","GO:0030424; GO:0005829; GO:0030425; GO:0005769; GO:0010008; GO:0005887; GO:0043231; GO:0045121; GO:0043025; GO:0005886; GO:0098797; GO:0043235; GO:0005524; GO:0005509; GO:0004713; GO:0005088; GO:0004872; GO:0004714; GO:0006919; GO:0007411; GO:0071300; GO:0001838; GO:0048484; GO:0007156; GO:0060384; GO:0097021; GO:0000165; GO:0033619; GO:0001755; GO:0007158; GO:0042551; GO:0061146; GO:0033630; GO:0030335; GO:0045793; GO:2001241; GO:0072300; GO:0014042; GO:0010976; GO:0033141; GO:0045893; GO:0007497; GO:0006468; GO:0050770; GO:0030155; GO:0042493; GO:0048265; GO:0060041; GO:0007165; GO:0007169; GO:0035799; GO:0001657","GO:0016021; GO:0005524; GO:0004713"
"33","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap2.1597","Molecular Functions","sp|P0C6B8|SVEP1_RAT",4.98e-08,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1","tr|A0A2B4SJW2|A0A2B4SJW2_STYPI",0,"Neuronal pentraxin-2 OS=Stylophora pistillata GN=NPTX2 PE=4 SV=1","ref|XP_020610588.1|",0,"uncharacterized protein LOC110049146 [Orbicella faveolata]","GO:0005737; GO:0005615; GO:0016020; GO:0005509; GO:0003682; GO:0007155",""
"34","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap3.169","Molecular Functions","sp|Q6AYE3|TAD2A_RAT",1.82e-142,"Transcriptional adapter 2-alpha OS=Rattus norvegicus GN=Tada2a PE=2 SV=1","tr|A0A2B4SG47|A0A2B4SG47_STYPI",0,"Transcriptional adapter 2-alpha OS=Stylophora pistillata GN=Tada2a PE=4 SV=1","ref|XP_020619859.1|",0,"transcriptional adapter 2-alpha-like isoform X2 [Orbicella faveolata]","GO:0005671; GO:0005694; GO:0072686; GO:0005634; GO:0000125; GO:0070461; GO:0003682; GO:0003677; GO:0003700; GO:0003713; GO:0006338; GO:0043966; GO:0000278; GO:0035066; GO:0031063; GO:0001932; GO:0031647; GO:0006357; GO:0090043; GO:0006351","GO:0005634; GO:0005509; GO:0003677"
"35","GO:0005509","calcium ion binding",2280,66,33.08,4.9e-08,"evm.model.Ap3.1865","Molecular Functions","sp|B8VIU6|USOM5_ACRMI",4.84e-55,"Uncharacterized skeletal organic matrix protein 5 OS=Acropora millepora PE=1 SV=1","tr|A0A2B4R9C4|A0A2B4R9C4_STYPI",6.16e-94,"Epidermal growth factor-like protein 6 OS=Stylophora pistillata GN=Egfl6 PE=4 SV=1","ref|XP_020623535.1|",1.23e-107,"uncharacterized skeletal organic matrix protein 5-like isoform X2 [Orbicella faveolata]","GO:0005576","GO:0005509"
