Coords	Name	MIRNA	tapoc_2_S31_L001_R1_001_condensed	tapoc_3_S32_L001_R1_001_condensed	tapoc_4_S33_L001_R1_001_condensed
Ap11:28741-29152	Cluster_1	N	0	22	9
Ap11:70294-70715	Cluster_2	N	71	4	17
Ap11:171278-171695	Cluster_3	N	27	0	2
Ap11:423611-424025	Cluster_4	N	4	13	28
Ap11:583143-583559	Cluster_5	N	17	28	7
Ap11:636984-637400	Cluster_6	N	2	18	22
Ap11:735982-736399	Cluster_7	N	1	0	21
Ap11:818209-818623	Cluster_8	N	4	4	23
Ap11:849701-850117	Cluster_9	N	12	76	80
Ap11:1173168-1173582	Cluster_10	N	0	2	30
Ap11:1291990-1292408	Cluster_11	N	87	17	12
Ap11:1507811-1508227	Cluster_12	N	10	14	27
Ap11:1594824-1595238	Cluster_13	N	0	9	19
Ap11:1865181-1865598	Cluster_14	N	27	17	40
Ap11:2012284-2012695	Cluster_15	N	0	21	25
Ap11:2449833-2450248	Cluster_16	N	1	0	55
Ap11:2688108-2688519	Cluster_17	N	1	12	17
Ap11:2902816-2903231	Cluster_18	N	12	11	9
Ap11:3378966-3379381	Cluster_19	N	0	102	133
Ap11:3407537-3407954	Cluster_20	N	16	10	15
Ap11:3455158-3455569	Cluster_21	N	1	24	5
Ap11:3707254-3707666	Cluster_22	N	0	21	9
Ap11:3753710-3754121	Cluster_23	N	0	21	0
Ap11:4032112-4032528	Cluster_24	N	12	4	7
Ap11:4058585-4059002	Cluster_25	N	13	23	15
Ap11:4231437-4231851	Cluster_26	N	1	29	53
Ap11:4292678-4293095	Cluster_27	N	14	4	36
Ap11:4367104-4367520	Cluster_28	N	2	3	19
Ap11:4563657-4564071	Cluster_29	N	5	134	180
Ap11:4662100-4662518	Cluster_30	N	8	11	14
Ap11:5104619-5105033	Cluster_31	N	6	16	21
Ap11:5118683-5119103	Cluster_32	N	6	18	14
Ap11:5198388-5198801	Cluster_33	N	0	17	11
Ap11:5203182-5203600	Cluster_34	N	35	126	114
Ap11:5228520-5228937	Cluster_35	N	22	83	80
