"","GO.ID","Term","Annotated","Significant","Expected","Fisher","Genes","ontology","Protein","Protein_abbrv"
"1","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus00260-RA","Molecular Functions","Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)","ARCN1 COPD"
"2","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus00434-RA","Molecular Functions","DNA excision repair protein ERCC-5 (EC 3.1.-.-) (DNA repair protein complementing XP-G cells) (XPG) (Xeroderma pigmentosum group G-complementing protein)","ERCC5 ERCM2 XPG XPGC"
"3","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus00566-RA","Molecular Functions","ATP-dependent DNA helicase Pif1 (EC 5.6.2.3) (DNA 5'-3' helicase Pif1)","pif1 PsycPRwf_1560"
"4","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus00638-RA","Molecular Functions","Putative ATP-dependent RNA helicase an3 (EC 3.6.4.13)","an3"
"5","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus00644-RA","Molecular Functions","Large ribosomal subunit protein uL2 (60S ribosomal protein L8)","RpL8 AGAP005802"
"6","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus00775-RA","Molecular Functions","Putative ATP-dependent RNA helicase R290 (EC 3.6.4.13)","MIMI_R290"
"7","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus00846-RA","Molecular Functions","Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN (DNA helicase, RecQ-like type 3) (RecQ protein-like 2) (Werner syndrome protein) [Includes: 3'-5' exonuclease (EC 3.1.-.-); ATP-dependent helicase (EC 5.6.2.4) (DNA 3'-5' helicase WRN)]","WRN RECQ3 RECQL2"
"8","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus00958-RA","Molecular Functions","Uncharacterized protein K02A2.6","K02A2.6"
"9","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus01100-RA","Molecular Functions","Histone H3 type 1","ch3-I"
"10","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus01149-RA","Molecular Functions","Transcriptional regulator Erg","ERG"
"11","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus01351-RA","Molecular Functions","Small ribosomal subunit protein eS19 (40S ribosomal protein S19)","RPS19"
"12","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus01423-RA","Molecular Functions","rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase)","Fib CG9888"
"13","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus01591-RA","Molecular Functions","DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase II subunit A)","Polr2A RPB1 RpII215 CG1554"
"14","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus01703-RA","Molecular Functions","Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","pol"
"15","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus03297-RA","Molecular Functions","PiggyBac transposable element-derived protein 3","PGBD3"
"16","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus03324-RA","Molecular Functions","Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]","gag-pol"
"17","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus03364-RA","Molecular Functions","Uncharacterized protein K02A2.6","K02A2.6"
"18","GO:0003676","nucleic acid binding",2746,142,71.32,4.1e-15,"Ahyacinthus03365-RA","Molecular Functions","Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]","TY3B-I YILWTy3-1 POL YIL082W-A"
