Coords	Name	MIRNA	ahya_1_S27_L001_R1_001_trim_condensed	ahya_2_S28_L001_R1_001_trim_condensed	ahya_3_S29_L001_R1_001_trim_condensed	ahya_4_S30_L001_R1_001_trim_condensed
chr1:16858-17273	Cluster_1	N	0	0	3	26
chr1:58262-58689	Cluster_2	N	8	1	13	0
chr1:77323-77739	Cluster_3	N	1	10	3	6
chr1:123717-124144	Cluster_4	N	22	0	0	0
chr1:180511-180939	Cluster_5	N	16	3	10	2
chr1:190940-191356	Cluster_6	N	1	10	5	5
chr1:193269-193693	Cluster_7	N	1	0	23	1
chr1:203561-203988	Cluster_8	N	3	2	23	3
chr1:271822-272250	Cluster_9	N	37	2	4	2
chr1:313958-314389	Cluster_10	N	80	5	15	6
chr1:316237-316645	Cluster_11	N	14	2	2	9
chr1:320036-320463	Cluster_12	N	26	3	1	10
chr1:342367-342795	Cluster_13	N	12	3	11	2
chr1:383209-383636	Cluster_14	N	4	4	18	5
chr1:409896-410464	Cluster_15	N	3	1	90	2
chr1:410549-411373	Cluster_16	N	15	4	29	184
chr1:417367-417795	Cluster_17	N	22	10	0	9
chr1:457429-457842	Cluster_18	N	5	22	0	0
chr1:527121-527548	Cluster_19	N	0	6	23	15
chr1:632739-633153	Cluster_20	N	1	0	20	0
chr1:649648-650075	Cluster_21	N	60	5	0	1
chr1:684578-685008	Cluster_22	N	1	1	100	2
chr1:685332-685759	Cluster_23	N	2	2	22	6
chr1:723253-723669	Cluster_24	N	19	34	73	40
chr1:826766-827183	Cluster_25	N	4	20	10	7
chr1:973434-973862	Cluster_26	N	15	1	1	9
chr1:1129541-1129970	Cluster_27	N	3	0	39	26
chr1:1156003-1156431	Cluster_28	N	13	0	6	0
chr1:1247014-1247443	Cluster_29	N	2	0	22	3
chr1:1252603-1253017	Cluster_30	N	4	18	1	1
chr1:1276906-1277334	Cluster_31	N	55	3	15	2
chr1:1283193-1283621	Cluster_32	N	19	6	16	6
chr1:1325716-1326194	Cluster_33	N	22	5	17	37
chr1:1327622-1328307	Cluster_34	N	19485	11100	58042	84621
chr1:1401917-1402335	Cluster_35	N	39	3	16	16
chr1:1402689-1403308	Cluster_36	N	126	3	1	90
chr1:1407047-1407476	Cluster_37	N	0	0	7	57
chr1:1407567-1408359	Cluster_38	N	13	0	7	128
chr1:1436968-1437396	Cluster_39	N	8	16	0	22
chr1:1439315-1439743	Cluster_40	N	8	0	12	2
chr1:1462951-1463378	Cluster_41	N	10	0	10	3
chr1:1464928-1465434	Cluster_42	N	31	0	1	32
chr1:1482798-1483225	Cluster_43	N	17	3	0	1
chr1:1484088-1484514	Cluster_44	N	1	0	98	0
chr1:1488471-1488899	Cluster_45	N	12	1	14	3
chr1:1504671-1505100	Cluster_46	N	5	2	25	12
chr1:1513579-1514007	Cluster_47	N	8	1	10	3
chr1:1546129-1546557	Cluster_48	N	11	1	8	3
chr1:1571648-1572076	Cluster_49	N	10	1	9	3
chr1:1627555-1627982	Cluster_50	N	1	1	0	26
chr1:1628312-1628719	Cluster_51	N	3	2	0	18
chr1:1653082-1653733	Cluster_52	N	87	4	20	6
chr1:1654109-1654536	Cluster_53	N	28	0	15	6
chr1:1660666-1661223	Cluster_54	N	88	21	237	11
chr1:1683571-1683998	Cluster_55	N	13	1	21	6
chr1:1700661-1701062	Cluster_56	N	50	0	0	0
chr1:1701078-1701505	Cluster_57	N	54	3	0	0
chr1:1710508-1710935	Cluster_58	N	13	3	16	2
chr1:1778754-1779170	Cluster_59	N	11	26	14	0
chr1:1807573-1807989	Cluster_60	N	1	7	17	3
chr1:1823957-1824385	Cluster_61	N	12	2	21	23
chr1:1937369-1937785	Cluster_62	N	6	13	18	3
chr1:1987651-1988071	Cluster_63	N	0	4	16	0
chr1:2022703-2023119	Cluster_64	N	7	34	1	9
chr1:2037852-2038279	Cluster_65	N	0	0	0	28
chr1:2040818-2041234	Cluster_66	N	2	27	0	0
chr1:2070268-2070681	Cluster_67	N	0	20	0	2
chr1:2071378-2071806	Cluster_68	N	31	2	70	36
chr1:2130671-2131086	Cluster_69	N	2	19	8	5
chr1:2144764-2145191	Cluster_70	N	2	0	13	4
chr1:2159095-2159541	Cluster_71	N	102	6	192	37
chr1:2176057-2176789	Cluster_72	N	200	7	35	12
chr1:2176913-2177340	Cluster_73	N	19	0	3	13
chr1:2187748-2188170	Cluster_74	N	0	8	17	1
chr1:2290802-2291230	Cluster_75	N	0	28	0	0
chr1:2305390-2305820	Cluster_76	N	23	35	16	16
chr1:2315236-2315665	Cluster_77	N	118	0	1	0
chr1:2369238-2369653	Cluster_78	N	0	18	16	20
chr1:2382187-2382618	Cluster_79	N	24	17	72	29
chr1:2467621-2468039	Cluster_80	N	5	0	29	19
chr1:2572051-2572481	Cluster_81	N	0	0	6	68
chr1:2574739-2575167	Cluster_82	N	0	0	13	70
chr1:2614230-2614648	Cluster_83	N	45	0	1	4
chr1:2630956-2631372	Cluster_84	N	0	26	7	2
chr1:2650941-2651369	Cluster_85	N	28	0	3	0
chr1:2712798-2713215	Cluster_86	N	0	45	3	0
chr1:2714262-2714678	Cluster_87	N	17	32	11	6
chr1:2759764-2760179	Cluster_88	N	0	26	2	2
chr1:2767315-2767742	Cluster_89	N	0	0	0	21
chr1:2785741-2786170	Cluster_90	N	3	13	50	1
chr1:2815019-2815447	Cluster_91	N	36	0	0	17
