"","GO.ID","Term","Annotated","Significant","Expected","Fisher","Genes","ontology","Protein","Protein_abbrv"
"1","GO:0004190","aspartic-type endopeptidase activity",186,38,4.51,2e-24,"NV2t000395001.1","Molecular Functions","Retrovirus-related Pol polyprotein from transposon 412 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","POL ORF3"
"2","GO:0004190","aspartic-type endopeptidase activity",186,38,4.51,2e-24,"NV2t000483001.1","Molecular Functions","Transposon Tf1-107 polyprotein (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-)","Tf1-107"
"3","GO:0004190","aspartic-type endopeptidase activity",186,38,4.51,2e-24,"NV2t000731001.1","Molecular Functions","Transposon Tf1-107 polyprotein (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-)","Tf1-107"
"4","GO:0004190","aspartic-type endopeptidase activity",186,38,4.51,2e-24,"NV2t001565001.1","Molecular Functions","Pro-Pol polyprotein (Pr125Pol) [Cleaved into: Protease/Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (EC 3.4.23.-) (p87Pro-RT-RNaseH); Protease/Reverse transcriptase (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-) (p65Pro-RT); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (p42In)]","pol"
"5","GO:0004190","aspartic-type endopeptidase activity",186,38,4.51,2e-24,"NV2t001565002.1","Molecular Functions","Pro-Pol polyprotein (Pr125Pol) [Cleaved into: Protease/Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (EC 3.4.23.-) (p87Pro-RT-RNaseH); Protease/Reverse transcriptase (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-) (p65Pro-RT); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (p42In)]","pol"
"6","GO:0004190","aspartic-type endopeptidase activity",186,38,4.51,2e-24,"NV2t001899001.1","Molecular Functions","Transposon Tf1-107 polyprotein (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-)","Tf1-107"
"7","GO:0004190","aspartic-type endopeptidase activity",186,38,4.51,2e-24,"NV2t002369001.1","Molecular Functions","Transposon Tf1-107 polyprotein (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-)","Tf1-107"
"8","GO:0004190","aspartic-type endopeptidase activity",186,38,4.51,2e-24,"NV2t002547001.1","Molecular Functions","Transposon Tf1-107 polyprotein (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-)","Tf1-107"
"9","GO:0004190","aspartic-type endopeptidase activity",186,38,4.51,2e-24,"NV2t003017001.1","Molecular Functions","Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","pol"
"10","GO:0004190","aspartic-type endopeptidase activity",186,38,4.51,2e-24,"NV2t004347001.1","Molecular Functions","Pro-Pol polyprotein (Pr125Pol) [Cleaved into: Protease/Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (EC 3.4.23.-) (p87Pro-RT-RNaseH); Protease/Reverse transcriptase (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-) (p65Pro-RT); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (p42In)]","pol"
