"","miRNA","three_UTR","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","gene_name"
"1","Cluster_1073","3prime_UTR::chr10:2285642-2286642(-)",154,-22.14,"2 19","792 811",17,"64.71%","82.35%","NV2t002574001.1"
"2","Cluster_1073","3prime_UTR::chr11:10413300-10413946(+)",154,-20.01,"2 19","527 546",17,"64.71%","82.35%","NV2t005019001.1"
"3","Cluster_1073","3prime_UTR::chr11:10413300-10413946(+)",154,-20.01,"2 19","527 546",17,"64.71%","82.35%","NV2t005019002.1"
"4","Cluster_1073","3prime_UTR::chr11:10413300-10413946(+)",154,-20.01,"2 19","527 546",17,"64.71%","82.35%","NV2t005019003.1"
"5","Cluster_1073","3prime_UTR::chr11:10413300-10413946(+)",154,-20.01,"2 19","527 546",17,"64.71%","82.35%","NV2t005019004.1"
"6","Cluster_1073","3prime_UTR::chr11:10413300-10413946(+)",154,-20.01,"2 19","527 546",17,"64.71%","82.35%","NV2t005019005.1"
"27","Cluster_1073","3prime_UTR::chr13:5171032-5172032(+)",167,-21.26,"2 16","851 870",14,"92.86%","92.86%","NV2t007355001.1"
"28","Cluster_1073","3prime_UTR::chr14:1936660-1937660(+)",155,-20.26,"2 19","813 832",18,"72.22%","88.89%","NV2t008406001.1"
"29","Cluster_1073","3prime_UTR::chr14:1936660-1937660(+)",155,-20.26,"2 19","813 832",18,"72.22%","88.89%","NV2t008406002.1"
"30","Cluster_1073","3prime_UTR::chr14:1936660-1937660(+)",155,-20.26,"2 19","813 832",18,"72.22%","88.89%","NV2t008406003.1"
"37","Cluster_1073","3prime_UTR::chr14:8765993-8766993(-)",157,-21.92,"2 19","407 427",18,"66.67%","88.89%","NV2t009048001.1"
"38","Cluster_1073","3prime_UTR::chr15:1594533-1595533(+)",164,-20.75,"2 19","494 512",17,"82.35%","88.24%","NV2t009591001.1"
"39","Cluster_1073","3prime_UTR::chr1:10748753-10749546(+)",168,-20.44,"2 18","29 49",17,"82.35%","94.12%","NV2t001160001.1"
"40","Cluster_1073","3prime_UTR::chr1:8897515-8898515(+)",153,-24.81,"2 19","253 274",19,"63.16%","84.21%","NV2t000943001.1"
"41","Cluster_1073","3prime_UTR::chr1:8897515-8898515(+)",153,-24.81,"2 19","253 274",19,"63.16%","84.21%","NV2t000943002.1"
"42","Cluster_1073","3prime_UTR::chr1:8897515-8898515(+)",153,-24.81,"2 19","253 274",19,"63.16%","84.21%","NV2t000943003.1"
"43","Cluster_1073","3prime_UTR::chr1:8897515-8898515(+)",153,-24.81,"2 19","253 274",19,"63.16%","84.21%","NV2t000943006.1"
"44","Cluster_1073","3prime_UTR::chr1:8897515-8898515(+)",153,-24.81,"2 19","253 274",19,"63.16%","84.21%","NV2t000943005.1"
"45","Cluster_1073","3prime_UTR::chr1:8897515-8898515(+)",153,-24.81,"2 19","253 274",19,"63.16%","84.21%","NV2t000943004.1"
"76","Cluster_1073","3prime_UTR::chr2:15419899-15420899(+)",152,-21.18,"2 19","108 130",20,"75.00%","75.00%","NV2t012386001.1"
"77","Cluster_1073","3prime_UTR::chr3:1318254-1319254(+)",166,-20.74,"2 19","241 260",17,"70.59%","94.12%","NV2t013196001.1"
"78","Cluster_1073","3prime_UTR::chr5:14861190-14862190(-)",164,-21.58,"2 19","198 216",17,"82.35%","88.24%","NV2t019059001.1"
"79","Cluster_1073","3prime_UTR::chr5:395215-396215(-)",172,-20.36,"2 19","349 367",17,"88.24%","94.12%","NV2t017367001.1"
"80","Cluster_1073","3prime_UTR::chr5:8694718-8695718(+)",166,-21.13,"2 15","391 410",13,"92.31%","100.00%","NV2t018342001.1"
"81","Cluster_1073","3prime_UTR::chr6:7420052-7420559(+)",165,-22.42,"2 19","452 472",18,"83.33%","83.33%","NV2t020058001.1"
"82","Cluster_1073","3prime_UTR::chr8:11339297-11340297(+)",165,-22.42,"2 19","505 525",18,"83.33%","83.33%","NV2t023826001.1"
"83","Cluster_1073","3prime_UTR::chr9:12323801-12324801(+)",160,-20.08,"2 18","227 247",17,"70.59%","94.12%","NV2t025466001.1"
"84","Cluster_1341","3prime_UTR::chr1:3891679-3892679(-)",161,-22.51,"2 20","616 638",20,"75.00%","85.00%","NV2t000395001.1"
"85","Cluster_1341","3prime_UTR::chr3:8749261-8749741(+)",178,-22.58,"2 19","387 407",17,"88.24%","94.12%","NV2t014040001.1"
"86","Cluster_1341","3prime_UTR::chr3:8752644-8753644(+)",172,-22.19,"2 19","388 407",17,"88.24%","94.12%","NV2t014041002.1"
"87","Cluster_1341","3prime_UTR::chr3:8752644-8753644(+)",172,-22.19,"2 19","388 407",17,"88.24%","94.12%","NV2t014041003.1"
"90","Cluster_1341","3prime_UTR::chr4:14905540-14906540(+)",176,-20.05,"2 19","640 659",17,"94.12%","94.12%","NV2t016931001.1"
"91","Cluster_1341","3prime_UTR::chr4:14905540-14906540(+)",176,-20.05,"2 19","820 839",17,"94.12%","94.12%","NV2t016931001.1"
"92","Cluster_1341","3prime_UTR::chr4:14905540-14906540(+)",176,-20.05,"2 19","892 911",17,"94.12%","94.12%","NV2t016931001.1"
"93","Cluster_1341","3prime_UTR::chr4:14905540-14906540(+)",176,-20.05,"2 19","964 983",17,"94.12%","94.12%","NV2t016931001.1"
"94","Cluster_1341","3prime_UTR::chr4:14905540-14906540(+)",176,-21.11,"2 19","784 803",17,"94.12%","94.12%","NV2t016931001.1"
"95","Cluster_1341","3prime_UTR::chr6:12634034-12635034(-)",145,-20.74,"2 20","177 205",26,"61.54%","69.23%","NV2t020629001.1"
"96","Cluster_1341","3prime_UTR::chr6:12634034-12635034(-)",145,-20.74,"2 20","177 205",26,"61.54%","69.23%","NV2t020629002.1"
"99","Cluster_1341","3prime_UTR::chr7:10249676-10250676(-)",174,-22.02,"2 19","463 483",17,"82.35%","94.12%","NV2t022123001.1"
"100","Cluster_1341","3prime_UTR::chr7:5633433-5634433(+)",150,-21.7,"2 20","467 492",23,"60.87%","73.91%","NV2t021628001.1"
"101","Cluster_1341","3prime_UTR::chr8:4138458-4139458(+)",157,-22.53,"2 20","228 250",20,"70.00%","85.00%","NV2t023120001.1"
"102","Cluster_1341","3prime_UTR::chr9:4368359-4369359(-)",169,-21.37,"2 18","465 485",16,"81.25%","93.75%","NV2t024696001.1"
"103","Cluster_1343","3prime_UTR::chr12:2297627-2298627(+)",169,-20.4,"2 20","547 568",18,"83.33%","88.89%","NV2t005681002.1"
"104","Cluster_1343","3prime_UTR::chr12:2297627-2298627(+)",169,-20.4,"2 20","547 568",18,"83.33%","88.89%","NV2t005681003.1"
"105","Cluster_1343","3prime_UTR::chr12:2297627-2298627(+)",169,-20.4,"2 20","547 568",18,"83.33%","88.89%","NV2t005681001.1"
"112","Cluster_1343","3prime_UTR::chr14:10789913-10790913(-)",156,-21.71,"2 21","192 214",19,"63.16%","78.95%","NV2t009242001.1"
"113","Cluster_1343","3prime_UTR::chr14:10790230-10790913(-)",156,-21.71,"2 21","192 214",19,"63.16%","78.95%","NV2t009243001.1"
"114","Cluster_1343","3prime_UTR::chr14:2026470-2027470(+)",161,-20.1,"2 15","374 397",14,"92.86%","92.86%","NV2t008417001.1"
"115","Cluster_1343","3prime_UTR::chr14:3040851-3041851(-)",163,-25.48,"2 22","495 523",26,"73.08%","73.08%","NV2t008503001.1"
"116","Cluster_1343","3prime_UTR::chr14:3483553-3484553(-)",171,-20.83,"2 20","22 44",18,"83.33%","83.33%","NV2t008550001.1"
"117","Cluster_1343","3prime_UTR::chr15:3556645-3557645(+)",165,-20.91,"2 19","697 720",18,"83.33%","83.33%","NV2t009785001.1"
"118","Cluster_1343","3prime_UTR::chr15:3556645-3557645(+)",165,-20.91,"2 19","697 720",18,"83.33%","83.33%","NV2t009785002.1"
"119","Cluster_1343","3prime_UTR::chr15:3556645-3557645(+)",165,-20.91,"2 19","697 720",18,"83.33%","83.33%","NV2t009785003.1"
"126","Cluster_1343","3prime_UTR::chr1:16015327-16016327(-)",177,-27.32,"2 22","526 548",20,"75.00%","90.00%","NV2t001758001.1"
"127","Cluster_1343","3prime_UTR::chr1:2686021-2687021(+)",163,-25.68,"2 22","531 557",24,"70.83%","79.17%","NV2t000252001.1"
"128","Cluster_1343","3prime_UTR::chr1:3001108-3001709(-)",157,-20.93,"2 15","92 116",15,"86.67%","86.67%","NV2t000296001.1"
"129","Cluster_1343","3prime_UTR::chr1:3001108-3001709(-)",157,-20.93,"2 15","92 116",15,"86.67%","86.67%","NV2t000296002.1"
