gene_name	GeneOntologyIDs
NV2t000003001.1	GO:0005777
NV2t000005001.1	GO:0005777
NV2t000006001.1	GO:0005777
NV2t000007001.1	GO:0035269;GO:0005794;GO:0035252;GO:0120053
NV2t000008001.1	GO:0016592;GO:0070847
NV2t000008002.1	GO:0006357;GO:0016592;GO:0070847;GO:0000978;GO:0003712
NV2t000008003.1	GO:0016592;GO:0070847
NV2t000008004.1	GO:0016592;GO:0070847
NV2t000009001.1	GO:0006364;GO:0042274;GO:0090502;GO:0005730;GO:0032040;GO:1990904;GO:0003730;GO:0019843;GO:0048027;GO:0070181
NV2t000010001.1	GO:0005783;GO:0016020
NV2t000011001.1	GO:0006520;GO:0009056;GO:0010155;GO:0022898;GO:0043604;GO:0044255;GO:0097009;GO:1901215;GO:1990845;GO:0005615;GO:0004181;GO:0016787;GO:0016811
NV2t000011002.1	GO:0044255;GO:0016787
NV2t000011003.1	GO:0044255
NV2t000012001.1	GO:1905244
NV2t000013001.1	GO:0035194;GO:0043186;GO:0003723;GO:0004386;GO:0032574
NV2t000015001.1	GO:0015803;GO:0071230;GO:1904263;GO:0005764;GO:0005770;GO:0071986;GO:0005085;GO:0015174;GO:0015175;GO:0015179;GO:0015485;GO:0016597;GO:0042887;GO:0043169;GO:0072349;GO:0140299
NV2t000016001.1	GO:0016020;GO:0031267
NV2t000017001.1	GO:0006432;GO:0043039;GO:0051262;GO:0005737;GO:0009328;GO:1902494;GO:0000049;GO:0000287;GO:0004826;GO:0005524
NV2t000017002.1	GO:0006432;GO:0043039;GO:0009328
NV2t000018001.1	GO:0046872;GO:0061630
NV2t000019001.1	GO:0006468;GO:0043235
NV2t000020001.1	GO:0000077;GO:0006281;GO:0033314;GO:0005634;GO:0005694;GO:0032991;GO:0003682;GO:0008094
NV2t000021001.1	GO:0016020;GO:0016021
NV2t000021002.1	GO:0016021
NV2t000021003.1	GO:0016021
NV2t000022001.1	GO:0006259;GO:0015074;GO:0003676;GO:0008270
NV2t000023001.1	GO:0043248;GO:0032991;GO:0044877;GO:0060090
NV2t000024001.1	GO:0007548;GO:0005634;GO:0000978;GO:0000981;GO:0043565
NV2t000027001.1	GO:0016021
NV2t000031001.1	GO:0006457;GO:0003755;GO:0005515
NV2t000031002.1	GO:0006457;GO:0018208;GO:0003755;GO:0005515
NV2t000031003.1	GO:0006457;GO:0003755;GO:0005515
NV2t000032001.1	GO:0005515;GO:0045504
NV2t000032002.1	GO:0005515;GO:0045504
NV2t000035001.1	GO:0004842;GO:0061630
NV2t000035002.1	GO:0004842;GO:0061630
NV2t000036001.1	GO:0000209;GO:0006284;GO:0007030;GO:0043161;GO:0061025;GO:0000139;GO:0005634;GO:0005515;GO:0008270;GO:0061630
NV2t000036002.1	GO:0005515;GO:0008270
NV2t000039001.1	GO:0008061
NV2t000041001.1	GO:0042073
NV2t000042001.1	GO:0016114;GO:0016116;GO:0046148;GO:0016702;GO:0016859
NV2t000047001.1	GO:0006259;GO:0006508;GO:0015074;GO:0003676;GO:0004190;GO:0008270
NV2t000048001.1	GO:0006511;GO:0016579;GO:0005634;GO:0005829;GO:0004197;GO:0004843
NV2t000051001.1	GO:0006412;GO:0005840;GO:0015935;GO:0003735
NV2t000052001.1	GO:0005737;GO:0005515
NV2t000053001.1	GO:0065003
NV2t000054001.1	GO:0006508;GO:0006885;GO:0005886;GO:0016020;GO:0008233;GO:0015385
NV2t000055001.1	GO:0061630
NV2t000057001.1	GO:0055085;GO:0022857
NV2t000057002.1	GO:0055085;GO:0022857
NV2t000057003.1	GO:0055085;GO:0022857
NV2t000060001.1	GO:0006621;GO:0010469;GO:0042981;GO:0005783;GO:0048471;GO:0005102
NV2t000063001.1	GO:0010951;GO:0030198;GO:1904683;GO:1904684;GO:0005886;GO:0005515;GO:0008191
NV2t000063002.1	GO:1904684;GO:0005515
NV2t000063003.1	GO:1904684;GO:0005515
NV2t000063004.1	GO:1904684;GO:0005515
NV2t000064001.1	GO:1904262
NV2t000066001.1	GO:0005509;GO:0005515
NV2t000066002.1	GO:0005509;GO:0005515
NV2t000066003.1	GO:0005509;GO:0005515
NV2t000066004.1	GO:0005515
NV2t000072001.1	GO:0045505
NV2t000074001.1	GO:0006869;GO:0005319
NV2t000075001.1	GO:0007186;GO:0007189;GO:0016525;GO:0016020;GO:0005509;GO:0005515
NV2t000077001.1	GO:0007186;GO:0007189;GO:0016525;GO:0016020;GO:0005509;GO:0005515
NV2t000079001.1	GO:0006364;GO:0031167;GO:0005730;GO:0008170;GO:0008649;GO:0016433
NV2t000080001.1	GO:0005515
NV2t000081001.1	GO:0032259;GO:0003676;GO:0008168
NV2t000082001.1	GO:0007264;GO:0043547;GO:0005085
NV2t000085001.1	GO:0016020;GO:0004930
NV2t000086001.1	GO:0071482;GO:0016020;GO:0004930
NV2t000087001.1	GO:0031012;GO:0008270
NV2t000088001.1	GO:0006508;GO:0030198;GO:0048513;GO:0048731;GO:0050793;GO:0050794;GO:0031012;GO:0004222;GO:0008237;GO:0008270
NV2t000097001.1	GO:0061630
NV2t000098001.1	GO:0016020;GO:0004930
NV2t000099001.1	GO:0006476;GO:0016570;GO:0046540;GO:0003714;GO:0005515
NV2t000102001.1	GO:0045505
NV2t000103001.1	GO:0055085;GO:0005515
NV2t000107001.1	GO:0005615
NV2t000107002.1	GO:0005615
NV2t000109001.1	GO:0030154;GO:0043565
NV2t000112001.1	GO:0005829;GO:0005515
NV2t000112002.1	GO:0009150;GO:0009167;GO:0009179;GO:0005829;GO:0005515;GO:0050145
NV2t000113001.1	GO:0016020
NV2t000118001.1	GO:0006508;GO:0007155;GO:0005737;GO:0016020;GO:0004222
NV2t000119001.1	GO:0046922
NV2t000120001.1	GO:0009755;GO:0016020;GO:0005515
NV2t000120002.1	GO:0009755;GO:0016020;GO:0005515
NV2t000122001.1	GO:0048018
NV2t000123001.1	GO:0006468;GO:0018105;GO:0005524
NV2t000124001.1	GO:0016491
NV2t000125001.1	GO:0006405;GO:0006886;GO:0071528;GO:0005643;GO:0005737;GO:0016363;GO:0000049;GO:0031267
NV2t000125002.1	GO:0071528
NV2t000125003.1	GO:0071528
NV2t000126001.1	GO:0007264;GO:0015031;GO:0016192;GO:0032482;GO:0050771;GO:0090317;GO:1905475;GO:0005737;GO:0030496;GO:0005092;GO:0005515
NV2t000128001.1	GO:0007267;GO:0007275;GO:0010468;GO:0016540
NV2t000128002.1	GO:0007267;GO:0007275;GO:0010468;GO:0016540
NV2t000128003.1	GO:0007267;GO:0007275;GO:0010468;GO:0016540
NV2t000128004.1	GO:0007267;GO:0007275;GO:0010468;GO:0016540
NV2t000129001.1	GO:0006629
NV2t000129002.1	GO:0006629
NV2t000130001.1	GO:0006629
NV2t000131001.1	GO:0055088;GO:0005783;GO:0016020
NV2t000132001.1	GO:0002181;GO:0006412;GO:0022625;GO:0003735
NV2t000133001.1	GO:0008021;GO:0016020
NV2t000134001.1	GO:0036211;GO:0070736
NV2t000137001.1	GO:0071277
NV2t000137002.1	GO:0051592;GO:0071248;GO:0071277;GO:1901701;GO:1902075;GO:1903861;GO:0005886;GO:0005544
NV2t000137003.1	GO:0071277
NV2t000138001.1	GO:0006672;GO:0016310;GO:0001729;GO:0016301
NV2t000138002.1	GO:0016310;GO:0016301
NV2t000139001.1	GO:0016020;GO:0030594
