gene_name	GeneOntologyIDs
evm.model.Ap11.1448	GO:0071726; GO:0071727; GO:0006954; GO:0045087; GO:0002224; GO:0005794; GO:0045121; GO:0030670; GO:0005886; GO:0043235; GO:0004888; GO:0042497
evm.model.Ap11.1449	GO:0009257; GO:0046655; GO:0007507; GO:0009086; GO:0006555; GO:0001843; GO:0001780; GO:0006730; GO:0006164; GO:0009152; GO:0035713; GO:0061053; GO:0035999; GO:0019346; GO:0005829; GO:0005524; GO:0004329; GO:0004477; GO:0004488
evm.model.Ap11.1447	GO:0009257; GO:0046655; GO:0007507; GO:0009086; GO:0006555; GO:0001843; GO:0001780; GO:0006730; GO:0006164; GO:0009152; GO:0035713; GO:0061053; GO:0035999; GO:0019346; GO:0005829; GO:0005524; GO:0004329; GO:0004477; GO:0004488
evm.model.Ap11.1445	GO:0008284; GO:0070374; GO:0070857; GO:0005783; GO:0005768; GO:0005886; GO:0043235; GO:0005524; GO:0017134; GO:0005007
evm.model.Ap11.1443	GO:0097753; GO:0006836; GO:0043254; GO:0051046; GO:0005829; GO:0030425; GO:0000139; GO:0005795; GO:0048471; GO:0030667; GO:0030672; GO:0140090; GO:0019904
evm.model.Ap11.1440	GO:0032259; GO:0102118; GO:0010341; GO:0046872; GO:0008757
evm.model.Ap11.1441	GO:0032259; GO:0102118; GO:0010341; GO:0046872; GO:0008757
evm.model.Ap11.11	GO:0009653; GO:0030154; GO:0006351; GO:0006357; GO:0005634; GO:0000981; GO:0019904; GO:0000978
evm.model.Ap11.12	
evm.model.Ap11.13	GO:0030154; GO:0006351; GO:0007165; GO:0000785; GO:0005634; GO:0000981; GO:0043565
evm.model.Ap11.15	GO:0006672; GO:0035627; GO:0003336; GO:0061436; GO:0006886; GO:0031424; GO:0030216; GO:0055088; GO:0006869; GO:0048286; GO:0033700; GO:0010875; GO:0032379; GO:2000010; GO:0072659; GO:0045055; GO:0061178; GO:0045616; GO:0032940; GO:0043129; GO:0005737; GO:0005829; GO:0097209; GO:0097234; GO:0000139; GO:0005743; GO:0005886; GO:0030658; GO:0140359; GO:0034191; GO:0005524; GO:0016887; GO:0140326; GO:0042626; GO:0005319; GO:0005102
evm.model.Ap11.15.1.5f15db9f	GO:0006672; GO:0035627; GO:0003336; GO:0061436; GO:0006886; GO:0031424; GO:0030216; GO:0055088; GO:0006869; GO:0048286; GO:0033700; GO:0010875; GO:0032379; GO:2000010; GO:0072659; GO:0045055; GO:0061178; GO:0045616; GO:0032940; GO:0043129; GO:0005737; GO:0005829; GO:0097209; GO:0097234; GO:0000139; GO:0005743; GO:0005886; GO:0030658; GO:0140359; GO:0034191; GO:0005524; GO:0016887; GO:0140326; GO:0042626; GO:0005319; GO:0005102
evm.model.Ap11.17	GO:0006869; GO:0030324; GO:0070925; GO:0046470; GO:0046471; GO:0055091; GO:0015914; GO:0010875; GO:1902995; GO:2001140; GO:0032464; GO:0031340; GO:0046890; GO:0032368; GO:0150172; GO:0051384; GO:0043129; GO:0046618; GO:0006855; GO:0042908; GO:0097208; GO:0097233; GO:0030659; GO:0042599; GO:0097232; GO:0005770; GO:0005765; GO:0032585; GO:0005886; GO:0008559; GO:0005524; GO:0016887; GO:0042626; GO:0005319; GO:0140345; GO:0120019
evm.model.Ap11.19	GO:0006351; GO:0006357; GO:0005634; GO:0000981; GO:0000978; GO:0008270
evm.model.Ap11.1629	GO:0006614; GO:0005829; GO:0005786; GO:0008312; GO:0030942
evm.model.Ap11.1620	GO:0009887; GO:0006351; GO:0048598; GO:0048839; GO:0010629; GO:1901330; GO:0043584; GO:0045787; GO:0042482; GO:0042481; GO:0060021; GO:0034399; GO:0000981; GO:0000977; GO:0000976
