Coords	Name	MIRNA	apoc_2_S31_L001_R1_001_trim_condensed	apoc_3_S32_L001_R1_001_trim_condensed	apoc_4_S33_L001_R1_001_trim_condensed
Ap11:8855-9271	Cluster_1	N	0	2	0
Ap11:37361-37778	Cluster_2	N	2	0	0
Ap11:48147-48563	Cluster_3	N	3	0	0
Ap11:70294-70717	Cluster_4	N	50	3	11
Ap11:75465-75882	Cluster_5	N	1	1	0
Ap11:75954-76369	Cluster_6	N	0	0	2
Ap11:81115-81531	Cluster_7	N	1	0	1
Ap11:83545-83969	Cluster_8	N	2	1	0
Ap11:91642-92066	Cluster_9	N	2	0	0
Ap11:150008-150423	Cluster_10	N	0	0	6
Ap11:154476-154892	Cluster_11	N	0	0	3
Ap11:171278-171696	Cluster_12	N	26	0	2
Ap11:183280-183697	Cluster_13	N	1	0	2
Ap11:189744-190176	Cluster_14	N	1	3	0
Ap11:199810-200483	Cluster_15	N	1	0	3
Ap11:201060-201479	Cluster_16	N	0	2	0
Ap11:201652-202067	Cluster_17	N	0	0	2
Ap11:203485-203902	Cluster_18	N	0	10	3
Ap11:205608-206027	Cluster_19	N	1	1	1
Ap11:225421-225837	Cluster_20	N	2	2	3
Ap11:234727-235144	Cluster_21	N	0	0	2
Ap11:261136-261552	Cluster_22	N	0	5	0
Ap11:281174-281592	Cluster_23	N	0	2	0
Ap11:319014-319431	Cluster_24	N	0	2	0
Ap11:352380-352801	Cluster_25	N	0	0	3
Ap11:357106-357520	Cluster_26	N	0	0	3
Ap11:364533-364949	Cluster_27	N	0	0	3
Ap11:368337-368755	Cluster_28	N	2	0	0
Ap11:370342-370758	Cluster_29	N	2	0	0
Ap11:387250-387667	Cluster_30	N	0	1	2
Ap11:387988-388405	Cluster_31	N	0	3	0
Ap11:403223-403638	Cluster_32	N	0	0	3
Ap11:407548-407964	Cluster_33	N	0	0	3
Ap11:423609-424025	Cluster_34	N	4	5	11
Ap11:444980-445395	Cluster_35	N	0	2	0
Ap11:448209-448627	Cluster_36	N	2	0	0
Ap11:464536-464951	Cluster_37	N	0	2	1
