"","target","species","OG","Nvec","Ahya","Apoc"
"NV2t000098001.1","NV2t000098001.1","Nvec","OG_246",1,0,1
"NV2t000206001.1","NV2t000206001.1","Nvec","OG_7453",1,0,0
"NV2t000206002.1","NV2t000206002.1","Nvec","OG_7453",1,0,0
"NV2t000206003.1","NV2t000206003.1","Nvec","OG_7453",1,0,0
"NV2t000206004.1","NV2t000206004.1","Nvec","OG_7453",1,0,0
"NV2t000206005.1","NV2t000206005.1","Nvec","OG_7453",1,0,0
"NV2t000206006.1","NV2t000206006.1","Nvec","OG_7453",1,0,0
"NV2t000251001.1","NV2t000251001.1","Nvec","OG_218",1,0,1
"NV2t000851001.1","NV2t000851001.1","Nvec","OG_1033",1,1,1
"NV2t001099001.1","NV2t001099001.1","Nvec","OG_7474",1,0,0
"NV2t001213001.1","NV2t001213001.1","Nvec","OG_3382",1,1,0
"NV2t001213002.1","NV2t001213002.1","Nvec","OG_3382",1,1,0
"NV2t001272001.1","NV2t001272001.1","Nvec","OG_1033",1,1,1
"NV2t001289001.1","NV2t001289001.1","Nvec","OG_5936",1,0,0
"NV2t001292001.1","NV2t001292001.1","Nvec","OG_5864",1,0,0
"NV2t001527001.1","NV2t001527001.1","Nvec","OG_631",1,1,0
"NV2t002064001.1","NV2t002064001.1","Nvec","OG_4991",1,0,0
"NV2t002064002.1","NV2t002064002.1","Nvec","OG_4991",1,0,0
"NV2t002577001.1","NV2t002577001.1","Nvec","OG_8842",1,1,0
"NV2t002577002.1","NV2t002577002.1","Nvec","OG_8842",1,1,0
"NV2t002577003.1","NV2t002577003.1","Nvec","OG_8842",1,1,0
"NV2t002618001.1","NV2t002618001.1","Nvec","OG_4053",1,1,0
"NV2t002618002.1","NV2t002618002.1","Nvec","OG_4053",1,1,0
"NV2t003226001.1","NV2t003226001.1","Nvec","OG_1338",1,1,1
"NV2t004055001.1","NV2t004055001.1","Nvec","OG_10844",1,1,0
"NV2t004574001.1","NV2t004574001.1","Nvec","OG_1773",1,0,0
"NV2t004586001.1","NV2t004586001.1","Nvec","OG_12294",1,0,0
"NV2t004734001.1","NV2t004734001.1","Nvec","OG_1766",1,0,0
"NV2t004742003.1","NV2t004742003.1","Nvec","OG_1655",1,1,1
"NV2t005343002.1","NV2t005343002.1","Nvec","OG_12184",1,0,0
"NV2t005434001.1","NV2t005434001.1","Nvec","OG_1659",1,0,1
"NV2t005589001.1","NV2t005589001.1","Nvec","OG_631",1,1,0
"NV2t005756001.1","NV2t005756001.1","Nvec","OG_1126",1,0,0
"NV2t006722001.1","NV2t006722001.1","Nvec","OG_9454",1,1,1
"NV2t007621001.1","NV2t007621001.1","Nvec","OG_1126",1,0,0
"NV2t007935001.1","NV2t007935001.1","Nvec","OG_3122",1,1,0
"NV2t008483001.1","NV2t008483001.1","Nvec","OG_10292",1,0,0
"NV2t008483002.1","NV2t008483002.1","Nvec","OG_10292",1,0,0
"NV2t008506001.1","NV2t008506001.1","Nvec","OG_10169",1,0,0
"NV2t008853001.1","NV2t008853001.1","Nvec","OG_5933",1,0,0
"NV2t008853002.1","NV2t008853002.1","Nvec","OG_5933",1,0,0
"NV2t009331001.1","NV2t009331001.1","Nvec","OG_4569",1,0,0
"NV2t009331002.1","NV2t009331002.1","Nvec","OG_4569",1,0,0
"NV2t009387001.1","NV2t009387001.1","Nvec","OG_1093",1,1,0
"NV2t010238001.1","NV2t010238001.1","Nvec","OG_1126",1,0,0
"NV2t010795001.1","NV2t010795001.1","Nvec","OG_123",1,0,0
"NV2t010795002.1","NV2t010795002.1","Nvec","OG_123",1,0,0
"NV2t010795003.1","NV2t010795003.1","Nvec","OG_123",1,0,0
"NV2t010837001.1","NV2t010837001.1","Nvec","OG_1380",1,0,0
"NV2t011138001.1","NV2t011138001.1","Nvec","OG_6923",1,0,0
"NV2t011289001.1","NV2t011289001.1","Nvec","OG_1336",1,1,1
"NV2t011330001.1","NV2t011330001.1","Nvec","OG_6957",1,0,1
"NV2t012061001.1","NV2t012061001.1","Nvec","OG_4076",1,1,0
"NV2t012061002.1","NV2t012061002.1","Nvec","OG_4076",1,1,0
"NV2t012375002.1","NV2t012375002.1","Nvec","OG_631",1,1,0
"NV2t012375004.1","NV2t012375004.1","Nvec","OG_631",1,1,0
"NV2t012375005.1","NV2t012375005.1","Nvec","OG_631",1,1,0
"NV2t013801001.1","NV2t013801001.1","Nvec","OG_68",1,0,0
"NV2t013980001.1","NV2t013980001.1","Nvec","OG_4454",1,0,0
"NV2t013980002.1","NV2t013980002.1","Nvec","OG_4454",1,0,0
"NV2t013980003.1","NV2t013980003.1","Nvec","OG_4454",1,0,0
"NV2t013980004.1","NV2t013980004.1","Nvec","OG_4454",1,0,0
"NV2t013983001.1","NV2t013983001.1","Nvec","OG_4454",1,0,0
"NV2t014107001.1","NV2t014107001.1","Nvec","OG_5537",1,0,0
"NV2t014363001.1","NV2t014363001.1","Nvec","OG_5360",1,1,1
"NV2t014405001.1","NV2t014405001.1","Nvec","OG_9999",1,1,1
"NV2t014405002.1","NV2t014405002.1","Nvec","OG_9999",1,1,1
"NV2t014405003.1","NV2t014405003.1","Nvec","OG_9999",1,1,1
"NV2t014405004.1","NV2t014405004.1","Nvec","OG_9999",1,1,1
"NV2t015062001.1","NV2t015062001.1","Nvec","OG_5144",1,0,0
"NV2t015069001.1","NV2t015069001.1","Nvec","OG_530",1,0,1
"NV2t015139001.1","NV2t015139001.1","Nvec","OG_631",1,1,0
"NV2t015342001.1","NV2t015342001.1","Nvec","OG_1126",1,0,0
"NV2t015452001.1","NV2t015452001.1","Nvec","OG_7684",1,0,0
"NV2t015720001.1","NV2t015720001.1","Nvec","OG_7858",1,0,0
"NV2t015860001.1","NV2t015860001.1","Nvec","OG_7872",1,0,0
"NV2t016338001.1","NV2t016338001.1","Nvec","OG_882",1,1,1
"NV2t016338002.1","NV2t016338002.1","Nvec","OG_882",1,1,1
"NV2t016356001.1","NV2t016356001.1","Nvec","OG_894",1,1,0
"NV2t016413001.1","NV2t016413001.1","Nvec","OG_503",1,1,0
"NV2t017234001.1","NV2t017234001.1","Nvec","OG_8084",1,1,0
"NV2t017234002.1","NV2t017234002.1","Nvec","OG_8084",1,1,0
"NV2t017234003.1","NV2t017234003.1","Nvec","OG_8084",1,1,0
"NV2t017234004.1","NV2t017234004.1","Nvec","OG_8084",1,1,0
"NV2t017234005.1","NV2t017234005.1","Nvec","OG_8084",1,1,0
"NV2t017435001.1","NV2t017435001.1","Nvec","OG_5789",1,0,1
"NV2t017686001.1","NV2t017686001.1","Nvec","OG_120",1,0,0
"NV2t017691001.1","NV2t017691001.1","Nvec","OG_5792",1,0,0
"NV2t017890001.1","NV2t017890001.1","Nvec","OG_12687",1,1,0
"NV2t017938001.1","NV2t017938001.1","Nvec","OG_8536",1,1,0
"NV2t017938002.1","NV2t017938002.1","Nvec","OG_8536",1,1,0
"NV2t017938003.1","NV2t017938003.1","Nvec","OG_8536",1,1,0
"NV2t017967001.1","NV2t017967001.1","Nvec","OG_543",1,1,1
"NV2t018221001.1","NV2t018221001.1","Nvec","OG_8441",1,0,0
"NV2t018499001.1","NV2t018499001.1","Nvec","OG_1920",1,0,1
"NV2t018743001.1","NV2t018743001.1","Nvec","OG_10867",1,0,0
"NV2t019320001.1","NV2t019320001.1","Nvec","OG_201",1,0,0
"NV2t019320002.1","NV2t019320002.1","Nvec","OG_201",1,0,0
"NV2t019320003.1","NV2t019320003.1","Nvec","OG_201",1,0,0
"NV2t020444001.1","NV2t020444001.1","Nvec","OG_631",1,1,0
"NV2t020793001.1","NV2t020793001.1","Nvec","OG_2864",1,0,0
"NV2t020793002.1","NV2t020793002.1","Nvec","OG_2864",1,0,0
"NV2t020793003.1","NV2t020793003.1","Nvec","OG_2864",1,0,0
"NV2t020822001.1","NV2t020822001.1","Nvec","OG_10635",1,0,1
"NV2t020916001.1","NV2t020916001.1","Nvec","OG_10666",1,0,0
"NV2t020916002.1","NV2t020916002.1","Nvec","OG_10666",1,0,0
"NV2t021258002.1","NV2t021258002.1","Nvec","OG_5226",1,0,1
"NV2t021856001.1","NV2t021856001.1","Nvec","OG_6693",1,1,1
"NV2t022537001.1","NV2t022537001.1","Nvec","OG_5328",1,0,0
"NV2t022594001.1","NV2t022594001.1","Nvec","OG_9179",1,1,0
"NV2t022594002.1","NV2t022594002.1","Nvec","OG_9179",1,1,0
"NV2t022752001.1","NV2t022752001.1","Nvec","OG_9068",1,0,0
"NV2t022752002.1","NV2t022752002.1","Nvec","OG_9068",1,0,0
"NV2t023279001.1","NV2t023279001.1","Nvec","OG_665",1,0,0
"NV2t023846001.1","NV2t023846001.1","Nvec","OG_9591",1,0,0
"NV2t024497001.1","NV2t024497001.1","Nvec","OG_3539",1,0,0
"NV2t024556001.1","NV2t024556001.1","Nvec","OG_703",1,1,1
"NV2t024937001.1","NV2t024937001.1","Nvec","OG_795",1,0,0
"NV2t024937002.1","NV2t024937002.1","Nvec","OG_795",1,0,0
"NV2t025136001.1","NV2t025136001.1","Nvec","OG_11336",1,0,0
"NV2t025723002.1","NV2t025723002.1","Nvec","OG_6502",1,0,0
"NV2t025723003.1","NV2t025723003.1","Nvec","OG_6502",1,0,0
"NV2t000483001.1","NV2t000483001.1","Nvec","OG_186",1,1,1
"NV2t000731001.1","NV2t000731001.1","Nvec","OG_186",1,1,1
"NV2t001181001.1","NV2t001181001.1","Nvec","OG_3821",1,0,1
"NV2t001181002.1","NV2t001181002.1","Nvec","OG_3821",1,0,1
"NV2t001181003.1","NV2t001181003.1","Nvec","OG_3821",1,0,1
"NV2t001181004.1","NV2t001181004.1","Nvec","OG_3821",1,0,1
"NV2t001181005.1","NV2t001181005.1","Nvec","OG_3821",1,0,1
"NV2t001181006.1","NV2t001181006.1","Nvec","OG_3821",1,0,1
"NV2t001181007.1","NV2t001181007.1","Nvec","OG_3821",1,0,1
"NV2t001355001.1","NV2t001355001.1","Nvec","OG_7674",1,1,0
"NV2t001355002.1","NV2t001355002.1","Nvec","OG_7674",1,1,0
"NV2t001355003.1","NV2t001355003.1","Nvec","OG_7674",1,1,0
"NV2t001355004.1","NV2t001355004.1","Nvec","OG_7674",1,1,0
"NV2t001355005.1","NV2t001355005.1","Nvec","OG_7674",1,1,0
"NV2t001355007.1","NV2t001355007.1","Nvec","OG_7674",1,1,0
"NV2t001355008.1","NV2t001355008.1","Nvec","OG_7674",1,1,0
"NV2t001355009.1","NV2t001355009.1","Nvec","OG_7674",1,1,0
"NV2t001355010.1","NV2t001355010.1","Nvec","OG_7674",1,1,0
"NV2t001355011.1","NV2t001355011.1","Nvec","OG_7674",1,1,0
"NV2t001355012.1","NV2t001355012.1","Nvec","OG_7674",1,1,0
"NV2t001355013.1","NV2t001355013.1","Nvec","OG_7674",1,1,0
"NV2t001371001.1","NV2t001371001.1","Nvec","OG_516",1,0,1
"NV2t001371002.1","NV2t001371002.1","Nvec","OG_516",1,0,1
"NV2t001696001.1","NV2t001696001.1","Nvec","OG_1200",1,1,0
"NV2t001738001.1","NV2t001738001.1","Nvec","OG_652",1,1,1
"NV2t001899001.1","NV2t001899001.1","Nvec","OG_186",1,1,1
"NV2t002728001.1","NV2t002728001.1","Nvec","OG_3858",1,1,0
